loja_id,peso_sem_roll,peso_com_roll
0CDRJ,0,0
1012,1901.24,3802.48
1082,2949.55,5899.1
1175,3991.88,7983.76
1266,3896.58,7793.16
1481,1706.31,3412.62
5022,3387.77,6775.54
5234,939.72,1879.44
5270,2560.65,5121.3
5377,62.01,124.02
5412,1553.88,3107.76
9035,533.52,1067.04
9108,894.61,1789.22
9112,626.82,1253.64
9119,303.13,606.26
9160,187.53,375.06
9250,267.91,535.82
9336,320.25,640.5
L003,3231.77,6463.54
L005,2197.69,4395.38
L007,1850.71,3701.42
L010,3870.72,7741.44
L012,7875.26,15750.52
L018,4332.98,8665.96
L019,5825.59,11651.18
L020,3396.51,6793.02
L022,4780.25,9560.5
L031,3561.48,7122.96
L032,4400.47,8800.94
L046,3941.31,7882.62
L067,4167.29,8334.58
L069,3714.42,7428.84
L090,7803.31,15606.62
L095,3008.09,6016.18
L119,5933.81,11867.62
L131,3111.4,6222.8
L139,3032.49,6064.98
L164,4147.93,8295.86
L175,7696.97,15393.94
L184,6125.57,12251.14
L227,3459.04,6918.08
L258,4273.64,8547.28
L278,2373.26,4746.52
L281,2559.06,5118.12
L308,9021.16,18042.32
L369,3381.36,6762.72
L419,1767.7,3535.4
L424,6532.97,13065.94
L463,2167.66,4335.32
L480,2610.46,5220.92
L502,2565.13,5130.26
L503,1086.17,2172.34
L508,3294.45,6588.9
L519,3468.53,6937.06
L523,1242.46,2484.92
L526,4755.56,9511.12
L529,1571.72,3143.44
L534,1913.92,3827.84
L537,2681.4,5362.8
L544,2987.22,5974.44
L554,1997.77,3995.54
L573,4420.77,8841.54
L596,1405.73,2811.46
L602,1471.0,2942.0
L607,1298.45,2596.9
L617,1297.03,2594.06
L623,1165.3,2330.6
L650,881.15,1762.3
L759,2204.15,4408.3
L760,1274.59,2549.18
L774,2692.13,5384.26
L776,2006.11,4012.22
L782,1559.91,3119.82
L783,1216.36,2432.72
L839,1233.44,2466.88
L858,1219.1,2438.2
L886,1402.06,2804.12
L954,646.24,1292.48
L977,2195.22,4390.44
