"loja_id","hora_final"
"0CDRJ",22
1012,14
1082,11
1175,15
1266,11
1481,10
5022,11
5234,9
5270,7
5377,8.5
5412,6
9035,6
9108,19
9112,6
9119,9
9160,19
9250,10
9336,6.5
"L003",19
"L005",15
"L007",11
"L010",6
"L012",6
"L018",8.5
"L019",6
"L020",7
"L022",18
"L031",19
"L032",7
"L046",9
"L054",10
"L067",17.5
"L069",19
"L087",8
"L090",7
"L095",10
"L119",9.5
"L131",12
"L139",6.5
"L164",20.5
"L175",13
"L184",6.5
"L227",10
"L258",13.5
"L278",10.5
"L281",8.5
"L308",8
"L369",10
"L419",9
"L424",12
"L463",7
"L480",10
"L502",13.5
"L503",20
"L508",21.5
"L519",10
"L523",17
"L526",13
"L529",16
"L534",6.5
"L537",13
"L544",11
"L554",6
"L573",12
"L596",11
"L602",9
"L607",19
"L617",8
"L623",6.5
"L650",11.5
"L663",10
"L759",14
"L760",11
"L774",12
"L776",12.5
"L782",11
"L783",17
"L788",18
"L839",18
"L858",8
"L886",13
"L954",9.5
"L977",18.5
